Water_Year,yearly_rain
1998,0.06
1999,37.42
2000,38.79
2001,24.22
2002,39.89
2003,39.8
2004,32.29
2005,47.34
2006,55.78
2007,24.29
2008,31.21
2009,29.080000000000002
2010,42.65
2011,50.91
2012,28.01
2013,26.13
2014,22.93
2015,27.669999999999998
2016,29.779999999999998
2017,56.51
2018,24.45
2019,48.7
2020,22.94
2021,13.48
2022,35.68
2023,52.63
2024,4.67
